object_type,entry_time,exit_time,zone_of_entrance,zone_of_exit,camera_id
car,05.09.2025 15:50:26,05.09.2025 17:43:40,None,None,2
female,05.09.2025 17:34:08,05.09.2025 17:44:08,Entrance 2,Entrance 1,1
male,05.09.2025 17:35:05,05.09.2025 17:44:21,Entrance 1,Entrance 1,2
male,05.09.2025 17:39:05,05.09.2025 17:44:34,Entrance 1,Entrance 2,1
male,05.09.2025 17:34:59,05.09.2025 17:44:59,Entrance 2,Entrance 2,1
male,05.09.2025 17:38:14,05.09.2025 17:45:01,Entrance 2,Entrance 2,1
female,05.09.2025 17:38:45,05.09.2025 17:45:19,Entrance 1,Entrance 2,1
female,05.09.2025 17:35:21,05.09.2025 17:45:21,Entrance 1,Entrance 1,1
female,05.09.2025 17:43:48,05.09.2025 17:47:19,Entrance 1,Entrance 1,2
male,05.09.2025 17:42:50,05.09.2025 17:47:25,None,Entrance 2,1
male,05.09.2025 17:38:50,05.09.2025 17:47:33,Entrance 1,None,2
female,05.09.2025 17:43:31,05.09.2025 17:47:36,None,Entrance 1,1
male,05.09.2025 17:41:12,05.09.2025 17:48:40,Entrance 1,Entrance 1,2
female,05.09.2025 17:43:09,05.09.2025 17:49:49,Entrance 2,Entrance 2,1
male,05.09.2025 17:47:02,05.09.2025 17:50:06,Entrance 1,Entrance 1,2
male,05.09.2025 17:43:53,05.09.2025 17:50:21,Entrance 1,Entrance 2,1
male,05.09.2025 17:43:24,05.09.2025 17:51:19,Entrance 1,Entrance 1,2
male,05.09.2025 17:42:12,05.09.2025 17:52:12,Entrance 2,Entrance 2,1
male,05.09.2025 17:48:06,05.09.2025 17:52:19,None,Entrance 1,2
female,05.09.2025 17:50:00,05.09.2025 17:54:38,Entrance 1,Entrance 2,1
male,05.09.2025 17:47:07,05.09.2025 17:54:49,Entrance 1,Entrance 1,2
female,05.09.2025 17:51:02,05.09.2025 17:55:15,Entrance 2,Entrance 1,1
female,05.09.2025 17:51:33,05.09.2025 17:55:35,Entrance 1,Entrance 1,1
male,05.09.2025 17:49:45,05.09.2025 17:55:35,Entrance 1,Entrance 1,2
male,05.09.2025 17:53:12,05.09.2025 17:56:12,Entrance 1,None,2
male,05.09.2025 17:52:19,05.09.2025 17:56:39,Entrance 1,Entrance 1,1
male,05.09.2025 17:51:36,05.09.2025 17:57:43,Entrance 1,Entrance 1,2
male,05.09.2025 17:54:17,05.09.2025 17:58:09,Entrance 1,Entrance 1,2
male,05.09.2025 17:54:25,05.09.2025 17:58:29,Entrance 2,Entrance 2,1
female,05.09.2025 17:53:25,05.09.2025 17:59:02,Entrance 1,Entrance 1,1
male,05.09.2025 17:55:14,05.09.2025 17:59:24,Entrance 1,Entrance 1,1
male,05.09.2025 17:56:20,05.09.2025 18:02:13,Entrance 1,Entrance 2,1
female,05.09.2025 17:53:08,05.09.2025 18:03:08,Entrance 2,Entrance 1,1
car,05.09.2025 17:24:39,05.09.2025 18:07:04,None,None,2
female,05.09.2025 18:02:49,05.09.2025 18:07:15,Entrance 1,Entrance 1,2
female,05.09.2025 18:01:56,05.09.2025 18:07:36,Entrance 1,Entrance 1,2
male,05.09.2025 18:06:53,05.09.2025 18:10:10,Entrance 1,Entrance 1,2
car,05.09.2025 17:16:10,05.09.2025 18:10:26,None,None,2
female,05.09.2025 18:05:06,05.09.2025 18:10:40,Entrance 1,Entrance 1,2
male,05.09.2025 18:05:55,05.09.2025 18:14:09,Entrance 1,Entrance 1,2
male,05.09.2025 18:09:52,05.09.2025 18:14:52,Entrance 1,Entrance 1,2
female,05.09.2025 18:08:50,05.09.2025 18:15:28,Entrance 1,Entrance 1,2
male,05.09.2025 18:15:12,05.09.2025 18:18:12,Entrance 1,Entrance 1,2
male,05.09.2025 18:09:01,05.09.2025 18:19:01,Entrance 1,Entrance 1,2
male,05.09.2025 18:14:17,05.09.2025 18:19:23,None,Entrance 1,2
car,05.09.2025 17:37:00,05.09.2025 18:20:09,None,None,1
female,05.09.2025 18:16:28,05.09.2025 18:22:07,Entrance 1,Entrance 1,2
male,05.09.2025 18:19:22,05.09.2025 18:22:30,Entrance 1,Entrance 1,1
male,05.09.2025 18:16:34,05.09.2025 18:22:39,Entrance 1,Entrance 1,2
female,05.09.2025 18:18:51,05.09.2025 18:22:55,Entrance 1,Entrance 2,1
male,05.09.2025 18:18:51,05.09.2025 18:22:56,Entrance 2,Entrance 2,1
female,05.09.2025 18:18:19,05.09.2025 18:24:10,Entrance 2,Entrance 1,1
female,05.09.2025 18:20:20,05.09.2025 18:24:58,Entrance 2,Entrance 2,1
male,05.09.2025 18:20:20,05.09.2025 18:25:07,Entrance 1,Entrance 1,1
female,05.09.2025 18:18:54,05.09.2025 18:27:35,Entrance 1,Entrance 1,2
male,05.09.2025 18:23:39,05.09.2025 18:27:39,Entrance 1,Entrance 1,1
female,05.09.2025 18:23:21,05.09.2025 18:28:14,Entrance 1,Entrance 1,1
male,05.09.2025 18:24:40,05.09.2025 18:28:20,Entrance 1,Entrance 1,2
male,05.09.2025 18:24:42,05.09.2025 18:28:26,Entrance 1,Entrance 2,1
male,05.09.2025 18:20:54,05.09.2025 18:29:11,Entrance 2,Entrance 2,1
male,05.09.2025 18:19:47,05.09.2025 18:29:47,Entrance 1,Entrance 1,2
female,05.09.2025 18:25:54,05.09.2025 18:30:10,Entrance 1,Entrance 1,1
female,05.09.2025 18:24:45,05.09.2025 18:30:29,Entrance 1,Entrance 1,2
male,05.09.2025 18:27:25,05.09.2025 18:30:55,Entrance 1,Entrance 2,1
male,05.09.2025 18:27:04,05.09.2025 18:31:10,Entrance 1,Entrance 1,1
male,05.09.2025 18:28:46,05.09.2025 18:31:46,Entrance 1,None,1
male,05.09.2025 18:28:54,05.09.2025 18:31:54,None,Entrance 1,1
female,05.09.2025 18:21:56,05.09.2025 18:31:56,Entrance 2,Entrance 2,1
female,05.09.2025 18:29:12,05.09.2025 18:32:44,Entrance 1,Entrance 1,2
car,05.09.2025 17:21:21,05.09.2025 18:32:47,None,None,2
male,05.09.2025 18:29:31,05.09.2025 18:33:29,None,Entrance 2,1
female,05.09.2025 18:27:09,05.09.2025 18:33:34,Entrance 1,Entrance 1,2
female,05.09.2025 18:25:48,05.09.2025 18:33:41,Entrance 2,Entrance 2,1
male,05.09.2025 18:27:10,05.09.2025 18:34:37,Entrance 2,Entrance 1,1
male,05.09.2025 18:28:46,05.09.2025 18:35:02,Entrance 2,Entrance 2,1
female,05.09.2025 18:30:49,05.09.2025 18:35:05,Entrance 1,Entrance 1,2
male,05.09.2025 18:28:13,05.09.2025 18:36:06,Entrance 1,Entrance 1,2
male,05.09.2025 18:33:46,05.09.2025 18:37:16,None,Entrance 1,2
female,05.09.2025 18:30:57,05.09.2025 18:37:19,Entrance 1,Entrance 1,1
car,05.09.2025 17:33:49,05.09.2025 18:38:11,None,None,2
male,05.09.2025 18:35:34,05.09.2025 18:38:45,Entrance 1,Entrance 2,1
male,05.09.2025 18:32:20,05.09.2025 18:39:05,Entrance 1,Entrance 1,2
female,05.09.2025 18:32:07,05.09.2025 18:39:28,Entrance 2,Entrance 2,1
female,05.09.2025 18:36:27,05.09.2025 18:39:36,Entrance 1,Entrance 1,1
male,05.09.2025 18:33:55,05.09.2025 18:39:37,Entrance 2,Entrance 2,1
female,05.09.2025 18:32:36,05.09.2025 18:40:06,Entrance 2,Entrance 1,1
female,05.09.2025 18:32:13,05.09.2025 18:40:53,Entrance 2,Entrance 2,1
female,05.09.2025 18:34:52,05.09.2025 18:41:16,Entrance 1,Entrance 2,1
female,05.09.2025 18:35:33,05.09.2025 18:41:24,Entrance 2,Entrance 2,1
male,05.09.2025 18:38:24,05.09.2025 18:41:24,Entrance 1,Entrance 1,2
male,05.09.2025 18:39:00,05.09.2025 18:42:27,Entrance 1,Entrance 1,1
female,05.09.2025 18:37:10,05.09.2025 18:42:38,Entrance 1,Entrance 1,2
female,05.09.2025 18:37:58,05.09.2025 18:42:52,Entrance 1,Entrance 1,2
male,05.09.2025 18:34:01,05.09.2025 18:43:08,Entrance 2,Entrance 2,1
male,05.09.2025 18:39:10,05.09.2025 18:43:12,Entrance 2,Entrance 2,1
male,05.09.2025 18:36:54,05.09.2025 18:43:25,Entrance 2,Entrance 1,1
female,05.09.2025 18:37:36,05.09.2025 18:43:29,Entrance 1,Entrance 1,2
male,05.09.2025 18:38:53,05.09.2025 18:43:47,Entrance 1,Entrance 1,1
male,05.09.2025 18:38:10,05.09.2025 18:44:19,Entrance 1,Entrance 2,1
male,05.09.2025 18:41:20,05.09.2025 18:44:34,Entrance 1,Entrance 1,1
male,05.09.2025 18:37:36,05.09.2025 18:45:05,Entrance 2,Entrance 2,1
male,05.09.2025 18:37:17,05.09.2025 18:45:18,Entrance 1,Entrance 1,2
male,05.09.2025 18:41:00,05.09.2025 18:45:35,Entrance 1,Entrance 1,1
male,05.09.2025 18:42:53,05.09.2025 18:45:53,Entrance 1,Entrance 2,1
male,05.09.2025 18:42:59,05.09.2025 18:45:59,Entrance 1,Entrance 1,1
female,05.09.2025 18:39:31,05.09.2025 18:46:00,Entrance 2,Entrance 1,1
car,05.09.2025 15:51:39,05.09.2025 18:46:08,None,None,1
female,05.09.2025 18:40:38,05.09.2025 18:46:15,Entrance 2,Entrance 1,1
male,05.09.2025 18:37:14,05.09.2025 18:46:29,Entrance 2,Entrance 2,1
female,05.09.2025 18:43:30,05.09.2025 18:46:30,None,Entrance 1,1
male,05.09.2025 18:38:43,05.09.2025 18:46:57,Entrance 1,None,1
female,05.09.2025 18:43:40,05.09.2025 18:47:27,None,Entrance 1,2
male,05.09.2025 18:43:03,05.09.2025 18:48:17,Entrance 1,Entrance 2,1
female,05.09.2025 18:45:36,05.09.2025 18:48:54,Entrance 1,Entrance 1,2
male,05.09.2025 18:39:07,05.09.2025 18:49:07,Entrance 1,Entrance 2,1
male,05.09.2025 18:42:50,05.09.2025 18:49:28,Entrance 1,Entrance 2,1
male,05.09.2025 18:41:49,05.09.2025 18:49:37,Entrance 1,Entrance 2,1
male,05.09.2025 18:43:44,05.09.2025 18:49:44,Entrance 2,None,1
female,05.09.2025 18:40:03,05.09.2025 18:50:03,Entrance 2,Entrance 1,1
male,05.09.2025 18:45:01,05.09.2025 18:50:34,Entrance 2,Entrance 2,1
male,05.09.2025 18:42:24,05.09.2025 18:51:06,Entrance 2,Entrance 1,1
female,05.09.2025 18:46:40,05.09.2025 18:51:31,Entrance 2,Entrance 1,1
car,05.09.2025 17:34:23,05.09.2025 18:52:08,None,None,1
male,05.09.2025 18:45:20,05.09.2025 18:52:14,Entrance 1,Entrance 1,2
female,05.09.2025 18:42:29,05.09.2025 18:52:29,Entrance 2,Entrance 2,1
male,05.09.2025 18:45:27,05.09.2025 18:52:50,Entrance 2,Entrance 2,1
female,05.09.2025 18:49:11,05.09.2025 18:53:01,Entrance 2,Entrance 2,1
female,05.09.2025 18:48:16,05.09.2025 18:53:15,Entrance 1,Entrance 2,1
male,05.09.2025 18:44:26,05.09.2025 18:53:43,Entrance 1,Entrance 2,1
male,05.09.2025 18:43:50,05.09.2025 18:53:50,Entrance 2,Entrance 2,1
male,05.09.2025 18:47:29,05.09.2025 18:53:50,Entrance 1,Entrance 1,2
female,05.09.2025 18:50:51,05.09.2025 18:53:51,None,Entrance 1,2
male,05.09.2025 18:46:37,05.09.2025 18:54:17,Entrance 1,Entrance 1,2
female,05.09.2025 18:47:08,05.09.2025 18:54:25,Entrance 1,Entrance 1,1
female,05.09.2025 18:51:23,05.09.2025 18:54:54,Entrance 1,Entrance 2,1
male,05.09.2025 18:48:54,05.09.2025 18:54:56,Entrance 1,Entrance 1,2
male,05.09.2025 18:51:24,05.09.2025 18:55:08,Entrance 1,Entrance 1,2
male,05.09.2025 18:51:00,05.09.2025 18:55:29,Entrance 1,Entrance 1,2
female,05.09.2025 18:51:46,05.09.2025 18:55:39,None,Entrance 1,2
male,05.09.2025 18:50:53,05.09.2025 18:56:19,Entrance 1,None,2
female,05.09.2025 18:53:07,05.09.2025 18:56:28,Entrance 1,Entrance 2,1
male,05.09.2025 18:51:54,05.09.2025 18:56:31,Entrance 1,Entrance 1,1
male,05.09.2025 18:52:35,05.09.2025 18:57:18,Entrance 1,Entrance 1,1
male,05.09.2025 18:54:23,05.09.2025 18:57:51,Entrance 1,Entrance 1,1
male,05.09.2025 18:50:22,05.09.2025 18:57:52,Entrance 1,Entrance 1,2
female,05.09.2025 18:50:40,05.09.2025 18:57:55,Entrance 1,Entrance 1,2
male,05.09.2025 18:48:00,05.09.2025 18:58:00,Entrance 2,Entrance 2,1
female,05.09.2025 18:51:53,05.09.2025 18:58:04,Entrance 1,Entrance 1,1
female,05.09.2025 18:53:08,05.09.2025 18:58:07,Entrance 1,Entrance 2,1
male,05.09.2025 18:49:10,05.09.2025 18:59:10,Entrance 2,Entrance 2,1
male,05.09.2025 18:49:43,05.09.2025 18:59:43,Entrance 2,Entrance 1,1
male,05.09.2025 18:52:34,05.09.2025 18:59:50,Entrance 1,Entrance 1,2
car,05.09.2025 17:37:23,05.09.2025 18:59:53,None,None,2
male,05.09.2025 18:56:10,05.09.2025 18:59:57,Entrance 1,Entrance 2,1
female,05.09.2025 18:50:02,05.09.2025 19:00:02,Entrance 2,Entrance 2,1
male,05.09.2025 18:53:37,05.09.2025 19:00:13,Entrance 1,Entrance 1,2
male,05.09.2025 18:56:14,05.09.2025 19:00:20,Entrance 1,None,1
male,05.09.2025 18:56:05,05.09.2025 19:00:32,Entrance 1,Entrance 2,1
car,05.09.2025 17:21:23,05.09.2025 19:00:42,None,None,2
female,05.09.2025 18:55:33,05.09.2025 19:01:09,Entrance 1,Entrance 1,2
male,05.09.2025 18:51:46,05.09.2025 19:01:12,Entrance 1,Entrance 1,2
male,05.09.2025 18:51:34,05.09.2025 19:01:34,Entrance 2,Entrance 2,1
female,05.09.2025 18:57:30,05.09.2025 19:01:34,Entrance 1,Entrance 2,1
male,05.09.2025 18:58:28,05.09.2025 19:01:47,Entrance 1,None,1
male,05.09.2025 18:58:21,05.09.2025 19:01:49,Entrance 1,Entrance 2,1
male,05.09.2025 18:54:20,05.09.2025 19:02:08,Entrance 2,Entrance 1,1
female,05.09.2025 18:52:14,05.09.2025 19:02:14,Entrance 2,Entrance 2,1
male,05.09.2025 18:52:58,05.09.2025 19:02:22,Entrance 2,Entrance 2,1
male,05.09.2025 18:57:23,05.09.2025 19:02:22,Entrance 1,Entrance 1,2
male,05.09.2025 18:56:42,05.09.2025 19:03:08,Entrance 2,Entrance 2,1
female,05.09.2025 18:57:29,05.09.2025 19:03:34,Entrance 1,Entrance 1,2
male,05.09.2025 18:56:19,05.09.2025 19:04:04,Entrance 2,Entrance 1,1
male,05.09.2025 18:55:32,05.09.2025 19:04:13,Entrance 2,Entrance 1,1
male,05.09.2025 18:59:20,05.09.2025 19:04:39,None,Entrance 1,2
male,05.09.2025 18:57:54,05.09.2025 19:05:13,Entrance 1,Entrance 1,2
female,05.09.2025 18:59:27,05.09.2025 19:05:46,Entrance 1,None,2
male,05.09.2025 18:59:56,05.09.2025 19:05:57,Entrance 1,Entrance 1,1
female,05.09.2025 19:01:53,05.09.2025 19:09:16,Entrance 1,Entrance 1,2
male,05.09.2025 19:04:52,05.09.2025 19:09:59,Entrance 1,Entrance 1,2
male,05.09.2025 19:04:16,05.09.2025 19:10:55,Entrance 1,Entrance 1,2
male,05.09.2025 19:07:13,05.09.2025 19:12:03,Entrance 1,Entrance 1,2
male,05.09.2025 19:08:35,05.09.2025 19:12:39,Entrance 1,Entrance 1,2
female,05.09.2025 19:09:43,05.09.2025 19:13:09,Entrance 1,Entrance 1,2
male,05.09.2025 19:06:36,05.09.2025 19:13:39,Entrance 1,Entrance 1,2
female,05.09.2025 19:10:49,05.09.2025 19:14:30,Entrance 1,Entrance 1,2
male,05.09.2025 19:10:54,05.09.2025 19:15:05,None,Entrance 1,2
car,05.09.2025 17:27:56,05.09.2025 19:15:47,None,None,1
female,05.09.2025 19:09:56,05.09.2025 19:16:09,Entrance 1,Entrance 1,2
male,05.09.2025 19:13:11,05.09.2025 19:16:11,None,Entrance 1,2
female,05.09.2025 19:13:18,05.09.2025 19:16:31,Entrance 1,Entrance 1,2
male,05.09.2025 19:12:28,05.09.2025 19:16:39,Entrance 1,None,2
car,05.09.2025 18:08:00,05.09.2025 19:17:22,None,None,1
female,05.09.2025 19:12:13,05.09.2025 19:18:02,Entrance 1,Entrance 1,2
male,05.09.2025 19:13:55,05.09.2025 19:18:25,Entrance 1,None,2
female,05.09.2025 19:11:10,05.09.2025 19:18:44,Entrance 1,None,2
male,05.09.2025 19:12:56,05.09.2025 19:19:02,Entrance 1,Entrance 1,2
female,05.09.2025 19:11:33,05.09.2025 19:19:48,Entrance 1,None,2
female,05.09.2025 19:18:10,05.09.2025 19:22:15,Entrance 1,Entrance 1,1
car,05.09.2025 18:05:29,05.09.2025 19:22:16,None,None,2
male,05.09.2025 19:18:18,05.09.2025 19:22:17,Entrance 1,Entrance 1,1
male,05.09.2025 19:16:48,05.09.2025 19:22:24,Entrance 1,Entrance 1,2
male,05.09.2025 19:17:20,05.09.2025 19:22:29,Entrance 1,Entrance 1,2
female,05.09.2025 19:18:47,05.09.2025 19:23:10,Entrance 1,Entrance 2,1
male,05.09.2025 19:20:06,05.09.2025 19:23:38,None,Entrance 1,1
female,05.09.2025 19:18:28,05.09.2025 19:24:07,Entrance 1,Entrance 1,1
male,05.09.2025 19:15:13,05.09.2025 19:24:14,Entrance 1,Entrance 1,2
male,05.09.2025 19:19:50,05.09.2025 19:25:09,Entrance 1,Entrance 1,2
male,05.09.2025 19:21:41,05.09.2025 19:25:25,Entrance 1,Entrance 1,1
male,05.09.2025 19:22:25,05.09.2025 19:25:25,Entrance 1,Entrance 1,1
female,05.09.2025 19:22:35,05.09.2025 19:26:01,Entrance 1,Entrance 1,1
female,05.09.2025 19:21:32,05.09.2025 19:26:10,Entrance 1,Entrance 2,1
male,05.09.2025 19:20:11,05.09.2025 19:26:24,Entrance 1,Entrance 1,1
female,05.09.2025 19:16:56,05.09.2025 19:26:27,Entrance 1,Entrance 1,2
male,05.09.2025 19:23:43,05.09.2025 19:26:43,Entrance 1,Entrance 2,1
female,05.09.2025 19:20:56,05.09.2025 19:26:59,Entrance 1,Entrance 1,1
male,05.09.2025 19:22:40,05.09.2025 19:27:04,Entrance 1,Entrance 1,1
female,05.09.2025 19:19:59,05.09.2025 19:27:43,Entrance 1,Entrance 1,1
male,05.09.2025 19:24:39,05.09.2025 19:27:46,Entrance 1,Entrance 1,2
female,05.09.2025 19:24:15,05.09.2025 19:27:53,Entrance 1,Entrance 1,2
male,05.09.2025 19:24:06,05.09.2025 19:28:31,Entrance 1,None,1
male,05.09.2025 19:21:44,05.09.2025 19:28:34,Entrance 1,Entrance 1,2
female,05.09.2025 19:24:56,05.09.2025 19:29:38,Entrance 1,Entrance 2,1
male,05.09.2025 19:25:23,05.09.2025 19:29:39,Entrance 1,Entrance 1,1
female,05.09.2025 19:24:27,05.09.2025 19:29:40,Entrance 1,Entrance 1,2
female,05.09.2025 19:25:37,05.09.2025 19:30:08,Entrance 1,Entrance 1,1
male,05.09.2025 19:21:37,05.09.2025 19:30:16,Entrance 2,Entrance 1,1
female,05.09.2025 19:27:46,05.09.2025 19:30:46,Entrance 1,Entrance 1,2
car,05.09.2025 17:37:11,05.09.2025 19:30:57,None,None,2
male,05.09.2025 19:26:55,05.09.2025 19:31:28,Entrance 1,Entrance 1,1
male,05.09.2025 19:21:30,05.09.2025 19:31:30,Entrance 2,Entrance 1,1
female,05.09.2025 19:27:04,05.09.2025 19:31:38,Entrance 1,None,1
female,05.09.2025 19:27:33,05.09.2025 19:31:41,Entrance 1,Entrance 2,1
male,05.09.2025 19:24:24,05.09.2025 19:31:53,Entrance 1,Entrance 1,2
male,05.09.2025 19:27:07,05.09.2025 19:33:05,Entrance 1,Entrance 1,1
male,05.09.2025 19:30:57,05.09.2025 19:34:11,Entrance 1,Entrance 2,1
male,05.09.2025 19:27:19,05.09.2025 19:34:43,Entrance 1,Entrance 1,2
female,05.09.2025 19:28:36,05.09.2025 19:34:58,Entrance 2,Entrance 2,1
male,05.09.2025 19:32:04,05.09.2025 19:35:12,Entrance 1,Entrance 1,2
female,05.09.2025 19:28:24,05.09.2025 19:35:12,Entrance 1,Entrance 1,2
female,05.09.2025 19:28:34,05.09.2025 19:35:22,Entrance 1,Entrance 2,1
female,05.09.2025 19:32:29,05.09.2025 19:35:29,Entrance 1,Entrance 2,1
male,05.09.2025 19:30:10,05.09.2025 19:35:34,Entrance 2,Entrance 1,1
male,05.09.2025 19:27:57,05.09.2025 19:35:42,Entrance 1,Entrance 1,2
female,05.09.2025 19:27:50,05.09.2025 19:35:44,Entrance 1,Entrance 1,2
female,05.09.2025 19:29:46,05.09.2025 19:36:04,Entrance 2,Entrance 2,1
male,05.09.2025 19:28:11,05.09.2025 19:36:17,Entrance 2,Entrance 2,1
male,05.09.2025 19:30:21,05.09.2025 19:36:28,Entrance 2,Entrance 2,1
female,05.09.2025 19:32:04,05.09.2025 19:36:40,Entrance 1,Entrance 1,2
female,05.09.2025 19:33:30,05.09.2025 19:37:17,Entrance 2,Entrance 2,1
female,05.09.2025 19:32:13,05.09.2025 19:37:30,Entrance 1,Entrance 2,1
female,05.09.2025 19:34:36,05.09.2025 19:37:36,Entrance 1,Entrance 1,2
female,05.09.2025 19:34:53,05.09.2025 19:39:13,Entrance 1,Entrance 1,2
male,05.09.2025 19:36:18,05.09.2025 19:39:18,Entrance 1,Entrance 2,1
female,05.09.2025 19:35:44,05.09.2025 19:39:40,Entrance 1,Entrance 1,1
car,05.09.2025 18:32:14,05.09.2025 19:39:54,None,None,1
male,05.09.2025 19:35:28,05.09.2025 19:40:29,Entrance 2,Entrance 1,1
female,05.09.2025 19:32:26,05.09.2025 19:40:29,Entrance 1,Entrance 1,1
male,05.09.2025 19:31:36,05.09.2025 19:40:37,Entrance 2,Entrance 2,1
car,05.09.2025 19:04:58,05.09.2025 19:40:49,None,None,1
female,05.09.2025 19:32:24,05.09.2025 19:40:50,Entrance 1,Entrance 2,1
male,05.09.2025 19:33:54,05.09.2025 19:41:00,Entrance 1,Entrance 1,2
female,05.09.2025 19:34:03,05.09.2025 19:41:06,Entrance 2,None,1
female,05.09.2025 19:35:35,05.09.2025 19:41:18,Entrance 1,Entrance 2,1
male,05.09.2025 19:33:06,05.09.2025 19:41:25,Entrance 2,Entrance 2,1
male,05.09.2025 19:35:15,05.09.2025 19:41:52,Entrance 2,Entrance 1,1
male,05.09.2025 19:37:18,05.09.2025 19:41:53,Entrance 1,None,2
female,05.09.2025 19:38:23,05.09.2025 19:42:10,None,Entrance 1,2
car,05.09.2025 18:20:48,05.09.2025 19:42:33,None,None,2
female,05.09.2025 19:38:55,05.09.2025 19:42:39,Entrance 1,Entrance 1,1
female,05.09.2025 19:36:48,05.09.2025 19:42:58,Entrance 1,Entrance 1,1
male,05.09.2025 19:38:18,05.09.2025 19:43:42,Entrance 1,Entrance 1,1
male,05.09.2025 19:38:31,05.09.2025 19:43:43,Entrance 1,Entrance 2,1
male,05.09.2025 19:35:33,05.09.2025 19:43:55,Entrance 1,Entrance 1,2
male,05.09.2025 19:38:53,05.09.2025 19:44:10,Entrance 1,Entrance 2,1
male,05.09.2025 19:37:15,05.09.2025 19:44:12,Entrance 1,Entrance 1,2
male,05.09.2025 19:35:04,05.09.2025 19:44:30,Entrance 2,Entrance 1,1
male,05.09.2025 19:41:38,05.09.2025 19:44:38,Entrance 1,Entrance 1,1
female,05.09.2025 19:38:30,05.09.2025 19:45:17,Entrance 2,Entrance 2,1
car,05.09.2025 19:04:29,05.09.2025 19:45:27,None,None,1
female,05.09.2025 19:39:31,05.09.2025 19:45:42,Entrance 1,Entrance 1,2
male,05.09.2025 19:40:26,05.09.2025 19:45:44,Entrance 1,Entrance 1,1
female,05.09.2025 19:37:22,05.09.2025 19:45:54,Entrance 2,Entrance 1,1
female,05.09.2025 19:42:49,05.09.2025 19:45:56,Entrance 1,Entrance 1,2
female,05.09.2025 19:38:56,05.09.2025 19:46:07,Entrance 2,Entrance 2,1
female,05.09.2025 19:38:28,05.09.2025 19:46:21,Entrance 2,Entrance 1,1
male,05.09.2025 19:39:32,05.09.2025 19:46:40,Entrance 2,None,1
male,05.09.2025 19:44:28,05.09.2025 19:47:56,Entrance 1,Entrance 1,2
male,05.09.2025 19:41:31,05.09.2025 19:48:13,Entrance 1,Entrance 1,2
male,05.09.2025 19:41:06,05.09.2025 19:48:18,Entrance 1,Entrance 2,1
male,05.09.2025 19:42:24,05.09.2025 19:48:30,Entrance 1,None,1
female,05.09.2025 19:42:51,05.09.2025 19:49:16,Entrance 1,Entrance 2,1
female,05.09.2025 19:45:06,05.09.2025 19:49:42,Entrance 1,Entrance 1,1
male,05.09.2025 19:45:04,05.09.2025 19:50:11,Entrance 1,Entrance 1,2
male,05.09.2025 19:44:08,05.09.2025 19:50:38,Entrance 1,Entrance 1,1
male,05.09.2025 19:45:18,05.09.2025 19:50:45,Entrance 1,Entrance 1,1
male,05.09.2025 19:45:54,05.09.2025 19:51:23,Entrance 1,Entrance 1,2
female,05.09.2025 19:41:29,05.09.2025 19:51:29,Entrance 2,Entrance 1,1
male,05.09.2025 19:48:52,05.09.2025 19:52:07,None,Entrance 1,2
female,05.09.2025 19:49:08,05.09.2025 19:52:08,None,Entrance 1,2
female,05.09.2025 19:49:06,05.09.2025 19:52:19,Entrance 1,Entrance 1,1
male,05.09.2025 19:49:19,05.09.2025 19:52:32,Entrance 1,Entrance 2,1
male,05.09.2025 19:49:27,05.09.2025 19:52:42,Entrance 1,Entrance 1,1
car,05.09.2025 18:34:26,05.09.2025 19:52:46,None,None,1
female,05.09.2025 19:48:17,05.09.2025 19:52:53,Entrance 1,Entrance 1,2
male,05.09.2025 19:48:36,05.09.2025 19:53:07,Entrance 1,Entrance 1,2
female,05.09.2025 19:45:33,05.09.2025 19:53:16,Entrance 1,Entrance 1,1
male,05.09.2025 19:48:56,05.09.2025 19:53:31,Entrance 1,Entrance 2,1
male,05.09.2025 19:44:37,05.09.2025 19:53:46,Entrance 1,Entrance 1,2
female,05.09.2025 19:47:42,05.09.2025 19:54:06,Entrance 1,Entrance 1,1
male,05.09.2025 19:48:30,05.09.2025 19:54:14,Entrance 1,Entrance 1,2
female,05.09.2025 19:51:27,05.09.2025 19:54:39,Entrance 1,Entrance 2,1
male,05.09.2025 19:50:37,05.09.2025 19:54:53,Entrance 1,Entrance 1,2
female,05.09.2025 19:47:13,05.09.2025 19:55:11,Entrance 2,Entrance 1,1
male,05.09.2025 19:51:58,05.09.2025 19:55:33,Entrance 1,Entrance 2,1
female,05.09.2025 19:45:48,05.09.2025 19:55:48,Entrance 2,Entrance 2,1
male,05.09.2025 19:53:14,05.09.2025 19:56:14,Entrance 1,Entrance 1,2
male,05.09.2025 19:49:20,05.09.2025 19:56:48,Entrance 2,Entrance 2,1
male,05.09.2025 19:52:08,05.09.2025 19:56:49,Entrance 1,Entrance 2,1
female,05.09.2025 19:52:03,05.09.2025 19:56:53,None,Entrance 1,1
female,05.09.2025 19:52:48,05.09.2025 19:56:54,Entrance 1,Entrance 2,1
male,05.09.2025 19:50:57,05.09.2025 19:58:05,Entrance 1,Entrance 1,2
male,05.09.2025 19:51:25,05.09.2025 19:58:15,Entrance 1,Entrance 1,2
female,05.09.2025 19:52:02,05.09.2025 19:58:30,Entrance 2,Entrance 1,1
car,05.09.2025 18:43:54,05.09.2025 19:58:40,None,None,1
female,05.09.2025 19:54:09,05.09.2025 19:58:56,Entrance 1,Entrance 1,2
female,05.09.2025 19:53:16,05.09.2025 19:59:01,Entrance 1,Entrance 1,2
